,location,month,year,tvm,pvm,pfvm,tvcm,pvcm,pfvcm,state,date_x
0,Alabama,1,2021,3.4899999999999998,3.01,0.44999999999999996,3.4899999999999998,3.01,0.44999999999999996,AL,20210101
2,Alabama,2,2021,17.02,12.860000000000001,4.279999999999999,20.509999999999998,15.870000000000001,4.7299999999999995,AL,20210201
4,Alabama,3,2021,41.57999999999999,27.469999999999995,15.610000000000001,62.08999999999999,43.339999999999996,20.34,AL,20210301
6,Alabama,4,2021,65.96,42.64,26.930000000000003,128.04999999999998,85.97999999999999,47.27,AL,20210401
8,Alabama,5,2021,85.49,50.730000000000004,39.63,213.53999999999996,136.70999999999998,86.9,AL,20210501
10,Alabama,6,2021,95.31,55.559999999999995,45.370000000000005,308.84999999999997,192.26999999999998,132.27,AL,20210601
12,Alabama,7,2021,103.83,60.629999999999995,49.359999999999985,412.67999999999995,252.89999999999998,181.63,AL,20210701
14,Alabama,8,2021,118.83999999999997,70.89999999999999,54.480000000000004,531.52,323.79999999999995,236.11,AL,20210801
15,Alabama,9,2021,117.71999999999998,68.22999999999999,53.95999999999998,649.24,392.03,290.07,AL,20210901
16,Alabama,10,2021,136.21999999999997,76.22000000000001,62.359999999999985,785.46,468.25,352.42999999999995,AL,20211001
17,Alabama,11,2021,126.14,67.91999999999999,55.660000000000004,911.6,536.17,408.09,AL,20211101
18,Alabama,12,2021,147.02,76.27000000000001,62.13000000000001,1058.6200000000001,612.4399999999999,470.21999999999997,AL,20211201
1,Alabama,1,2022,151.45999999999995,76.55000000000001,62.02,1210.0800000000002,688.99,532.24,AL,20220101
3,Alabama,2,2022,150.75,75.45000000000002,61.120000000000026,1360.8300000000002,764.44,593.36,AL,20220201
5,Alabama,3,2022,190.17000000000002,94.40999999999995,76.72999999999998,1551.0000000000002,858.85,670.09,AL,20220301
7,Alabama,4,2022,167.95999999999995,82.72999999999996,67.35000000000002,1718.9600000000003,941.5799999999999,737.44,AL,20220401
9,Alabama,5,2022,170.54999999999998,83.23,67.85,1889.5100000000002,1024.81,805.2900000000001,AL,20220501
11,Alabama,6,2022,108.60000000000002,52.580000000000005,42.910000000000004,1998.1100000000001,1077.3899999999999,848.2,AL,20220601
13,Alabama,7,2022,6.42,3.11,2.53,2004.5300000000002,1080.4999999999998,850.73,AL,20220701
19,Alaska,1,2021,1.4000000000000004,1.1199999999999999,0.24999999999999994,1.4000000000000004,1.1199999999999999,0.24999999999999994,AK,20210101
21,Alaska,2,2021,5.08,3.47,1.6100000000000005,6.48,4.59,1.8600000000000005,AK,20210201
23,Alaska,3,2021,10.540000000000001,6.460000000000003,4.11,17.020000000000003,11.050000000000002,5.970000000000001,AK,20210301
25,Alaska,4,2021,14.709999999999994,8.42,6.54,31.729999999999997,19.470000000000002,12.510000000000002,AK,20210401
27,Alaska,5,2021,17.549999999999997,9.63,8.240000000000004,49.279999999999994,29.1,20.750000000000007,AK,20210501
29,Alaska,6,2021,18.990000000000006,10.419999999999993,9.019999999999998,68.27,39.519999999999996,29.770000000000003,AK,20210601
31,Alaska,7,2021,17.789999999999992,9.610000000000003,8.49,86.05999999999999,49.129999999999995,38.260000000000005,AK,20210701
33,Alaska,8,2021,22.070000000000007,11.970000000000002,10.509999999999996,108.13,61.099999999999994,48.77,AK,20210801
34,Alaska,9,2021,21.369999999999997,11.5,10.0,129.5,72.6,58.77,AK,20210901
35,Alaska,10,2021,24.140000000000008,12.359999999999996,10.950000000000005,153.64000000000001,84.96,69.72000000000001,AK,20211001
36,Alaska,11,2021,22.880000000000006,11.160000000000002,9.78,176.52,96.11999999999999,79.50000000000001,AK,20211101
37,Alaska,12,2021,26.880000000000006,12.660000000000004,10.97,203.4,108.78,90.47000000000001,AK,20211201
20,Alaska,1,2022,24.129999999999995,11.180000000000003,9.669999999999998,227.53,119.96000000000001,100.14000000000001,AK,20220101
22,Alaska,2,2022,24.800000000000004,11.5,10.18,252.33,131.46,110.32000000000002,AK,20220201
24,Alaska,3,2022,34.33999999999999,15.629999999999997,13.949999999999992,286.67,147.09,124.27000000000001,AK,20220301
26,Alaska,4,2022,30.52,13.769999999999996,12.220000000000006,317.19,160.86,136.49,AK,20220401
28,Alaska,5,2022,20.830000000000002,9.179999999999998,8.280000000000001,338.02,170.04000000000002,144.77,AK,20220501
30,Alaska,6,2022,1.17,0.52,0.46,339.19,170.56000000000003,145.23000000000002,AK,20220601
32,Alaska,7,2022,1.18,0.52,0.46,340.37,171.08000000000004,145.69000000000003,AK,20220701
57,Arizona,1,2021,6.050000000000001,5.140000000000001,0.83,6.050000000000001,5.140000000000001,0.83,AZ,20210101
59,Arizona,2,2021,29.280000000000005,22.150000000000002,6.81,35.330000000000005,27.290000000000003,7.64,AZ,20210201
61,Arizona,3,2021,81.63,51.60000000000001,28.259999999999994,116.96000000000001,78.89000000000001,35.89999999999999,AZ,20210301
63,Arizona,4,2021,130.01999999999998,78.74000000000001,50.8,246.98,157.63000000000002,86.69999999999999,AZ,20210401
65,Arizona,5,2021,166.74,95.1,72.05000000000001,413.72,252.73000000000002,158.75,AZ,20210501
67,Arizona,6,2021,187.27999999999997,104.95,83.38000000000002,601.0,357.68,242.13000000000002,AZ,20210601
69,Arizona,7,2021,208.05999999999997,112.91999999999999,96.76000000000002,809.06,470.6,338.89000000000004,AZ,20210701
71,Arizona,8,2021,227.35000000000005,124.04999999999998,104.91000000000001,1036.41,594.65,443.80000000000007,AZ,20210801
72,Arizona,9,2021,224.38000000000002,118.77000000000001,101.83,1260.7900000000002,713.42,545.6300000000001,AZ,20210901
73,Arizona,10,2021,238.17,122.93000000000002,106.32,1498.9600000000003,836.35,651.95,AZ,20211001
74,Arizona,11,2021,229.13000000000005,113.77000000000001,98.02,1728.0900000000004,950.12,749.97,AZ,20211101
75,Arizona,12,2021,271.95,129.49,110.0,2000.0400000000004,1079.6100000000001,859.97,AZ,20211201
58,Arizona,1,2022,283.64,130.56999999999996,109.93000000000002,2283.6800000000003,1210.18,969.9000000000001,AZ,20220101
60,Arizona,2,2022,284.45,129.0,108.28999999999999,2568.13,1339.18,1078.19,AZ,20220201
62,Arizona,3,2022,361.5,162.22999999999996,136.58000000000004,2929.63,1501.41,1214.77,AZ,20220301
64,Arizona,4,2022,322.54999999999995,142.76,120.35000000000002,3252.1800000000003,1644.17,1335.12,AZ,20220401
66,Arizona,5,2022,330.80999999999995,144.05000000000004,121.39000000000004,3582.9900000000002,1788.22,1456.51,AZ,20220501
68,Arizona,6,2022,224.52,96.72999999999998,81.44000000000001,3807.51,1884.95,1537.95,AZ,20220601
70,Arizona,7,2022,12.63,5.41,4.55,3820.1400000000003,1890.3600000000001,1542.5,AZ,20220701
76,Arkansas,1,2021,3.27,2.7300000000000004,0.51,3.27,2.7300000000000004,0.51,AR,20210101
78,Arkansas,2,2021,12.519999999999998,8.99,3.4500000000000006,15.789999999999997,11.72,3.960000000000001,AR,20210201
80,Arkansas,3,2021,28.19,18.58,9.94,43.98,30.299999999999997,13.9,AR,20210301
82,Arkansas,4,2021,46.0,29.01,18.27,89.97999999999999,59.31,32.17,AR,20210401
84,Arkansas,5,2021,58.5,33.959999999999994,26.060000000000006,148.48,93.27,58.230000000000004,AR,20210501
86,Arkansas,6,2021,64.73,36.89999999999999,29.61000000000001,213.20999999999998,130.17,87.84000000000002,AR,20210601
88,Arkansas,7,2021,69.76,39.8,31.950000000000006,282.96999999999997,169.96999999999997,119.79000000000002,AR,20210701
90,Arkansas,8,2021,81.55000000000001,47.31000000000002,36.35000000000001,364.52,217.27999999999997,156.14000000000004,AR,20210801
91,Arkansas,9,2021,82.0,46.269999999999996,37.230000000000004,446.52,263.54999999999995,193.37000000000006,AR,20210901
92,Arkansas,10,2021,90.96000000000001,49.74000000000001,41.03000000000001,537.48,313.28999999999996,234.40000000000006,AR,20211001
93,Arkansas,11,2021,84.66999999999999,44.620000000000005,36.709999999999994,622.15,357.90999999999997,271.11000000000007,AR,20211101
94,Arkansas,12,2021,99.18000000000002,50.23,41.03,721.33,408.14,312.1400000000001,AR,20211201
77,Arkansas,1,2022,102.16,50.30000000000001,40.87000000000001,823.49,458.44,353.0100000000001,AR,20220101
79,Arkansas,2,2022,101.16999999999999,49.31999999999997,40.08,924.66,507.76,393.0900000000001,AR,20220201
81,Arkansas,3,2022,127.49,61.730000000000004,50.33000000000004,1052.1499999999999,569.49,443.42000000000013,AR,20220301
83,Arkansas,4,2022,113.00999999999998,54.09999999999998,44.13999999999999,1165.1599999999999,623.59,487.5600000000001,AR,20220401
85,Arkansas,5,2022,115.32,54.46000000000003,44.46999999999998,1280.4799999999998,678.0500000000001,532.0300000000001,AR,20220501
87,Arkansas,6,2022,77.82999999999998,36.52,29.82,1358.3099999999997,714.57,561.8500000000001,AR,20220601
89,Arkansas,7,2022,4.36,2.04,1.66,1362.6699999999996,716.61,563.5100000000001,AR,20220701
114,California,1,2021,33.800000000000004,28.029999999999998,5.48,33.800000000000004,28.029999999999998,5.48,CA,20210101
116,California,2,2021,160.81,121.69999999999999,38.03,194.61,149.73,43.510000000000005,CA,20210201
118,California,3,2021,409.9200000000001,275.89,135.27,604.5300000000001,425.62,178.78000000000003,CA,20210301
120,California,4,2021,738.2899999999998,483.12000000000006,276.42999999999995,1342.82,908.74,455.21,CA,20210401
122,California,5,2021,1042.6200000000001,627.9899999999999,445.19000000000017,2385.44,1536.73,900.4000000000001,CA,20210501
124,California,6,2021,1220.2,702.1399999999999,554.47,3605.6400000000003,2238.87,1454.8700000000001,CA,20210601
126,California,7,2021,1319.2400000000002,748.14,610.3800000000001,4924.880000000001,2987.0099999999998,2065.25,CA,20210701
128,California,8,2021,1444.29,820.36,665.61,6369.170000000001,3807.37,2730.86,CA,20210801
129,California,9,2021,1384.33,779.7099999999999,637.2299999999999,7753.500000000001,4587.08,3368.09,CA,20210901
130,California,10,2021,1520.9999999999998,839.2599999999999,690.2399999999999,9274.5,5426.34,4058.33,CA,20211001
131,California,11,2021,1418.8099999999997,755.6099999999999,614.52,10693.31,6181.95,4672.85,CA,20211101
132,California,12,2021,485.3,251.28,201.62,11178.609999999999,6433.23,4874.47,CA,20211201
115,California,1,2022,345.15,158.52,136.25,11523.759999999998,6591.75,5010.72,CA,20220101
117,California,2,2022,1618.92,737.4299999999998,633.63,13142.679999999998,7329.18,5644.35,CA,20220201
119,California,3,2022,1079.6,486.26,419.13,14222.279999999999,7815.4400000000005,6063.4800000000005,CA,20220301
121,California,4,2022,0.0,0.0,0.0,14222.279999999999,7815.4400000000005,6063.4800000000005,CA,20220401
123,California,5,2022,1139.9,488.34000000000003,429.41999999999996,15362.179999999998,8303.78,6492.900000000001,CA,20220501
125,California,6,2022,1234.23,522.4699999999999,459.61000000000007,16596.41,8826.25,6952.51,CA,20220601
127,California,7,2022,77.99,32.85,28.8,16674.4,8859.1,6981.31,CA,20220701
133,Colorado,1,2021,6.330000000000001,5.13,1.13,6.330000000000001,5.13,1.13,CO,20210101
135,Colorado,2,2021,25.910000000000004,17.999999999999996,7.78,32.24,23.129999999999995,8.91,CO,20210201
137,Colorado,3,2021,62.029999999999994,39.589999999999996,22.959999999999997,94.27,62.71999999999999,31.869999999999997,CO,20210301
139,Colorado,4,2021,108.20999999999997,68.36000000000001,42.53,202.47999999999996,131.08,74.4,CO,20210401
141,Colorado,5,2021,152.97000000000003,86.95,69.13,355.45,218.03000000000003,143.53,CO,20210501
143,Colorado,6,2021,177.66,97.20999999999998,84.24000000000001,533.11,315.24,227.77,CO,20210601
145,Colorado,7,2021,190.22999999999996,102.10999999999999,92.08,723.3399999999999,417.35,319.85,CO,20210701
147,Colorado,8,2021,205.92000000000002,110.55,99.30000000000001,929.26,527.9,419.15000000000003,CO,20210801
148,Colorado,9,2021,196.37,104.23,94.0,1125.63,632.13,513.1500000000001,CO,20210901
149,Colorado,10,2021,215.87000000000006,111.29,101.21,1341.5000000000002,743.42,614.3600000000001,CO,20211001
150,Colorado,11,2021,203.75,99.8,89.83000000000003,1545.2500000000002,843.2199999999999,704.1900000000002,CO,20211101
151,Colorado,12,2021,245.44000000000003,113.60000000000002,100.98,1790.6900000000003,956.8199999999999,805.1700000000002,CO,20211201
134,Colorado,1,2022,255.98,114.08999999999999,100.86,2046.6700000000003,1070.9099999999999,906.0300000000002,CO,20220101
136,Colorado,2,2022,254.85999999999999,112.21000000000002,98.98000000000002,2301.53,1183.12,1005.0100000000002,CO,20220201
138,Colorado,3,2022,322.04,140.38000000000002,124.11000000000006,2623.57,1323.5,1129.1200000000003,CO,20220301
140,Colorado,4,2022,285.55999999999995,122.96999999999997,108.82000000000006,2909.13,1446.47,1237.9400000000005,CO,20220401
142,Colorado,5,2022,292.18,123.67,109.45,3201.31,1570.14,1347.3900000000006,CO,20220501
144,Colorado,6,2022,198.36,82.8,73.27,3399.67,1652.94,1420.6600000000005,CO,20220601
146,Colorado,7,2022,11.17,4.63,4.08,3410.84,1657.5700000000002,1424.7400000000005,CO,20220701
152,Connecticut,1,2021,4.99,4.09,0.64,4.99,4.09,0.64,CT,20210101
154,Connecticut,2,2021,18.91,13.41,5.2700000000000005,23.9,17.5,5.91,CT,20210201
156,Connecticut,3,2021,42.890000000000015,28.62,14.66,66.79000000000002,46.120000000000005,20.57,CT,20210301
158,Connecticut,4,2021,78.89000000000001,49.470000000000006,31.919999999999998,145.68000000000004,95.59,52.489999999999995,CT,20210401
160,Connecticut,5,2021,110.17000000000002,63.23,50.49000000000001,255.85000000000005,158.82,102.98,CT,20210501
162,Connecticut,6,2021,127.10000000000001,69.83999999999997,61.36,382.95000000000005,228.65999999999997,164.34,CT,20210601
164,Connecticut,7,2021,135.09,73.17,66.44,518.0400000000001,301.83,230.78,CT,20210701
166,Connecticut,8,2021,145.82,79.36000000000003,71.34999999999998,663.8600000000001,381.19,302.13,CT,20210801
167,Connecticut,9,2021,138.19,74.89999999999998,67.39999999999998,802.0500000000002,456.09,369.53,CT,20210901
168,Connecticut,10,2021,151.49000000000004,80.35,72.20999999999998,953.5400000000002,536.4399999999999,441.73999999999995,CT,20211001
169,Connecticut,11,2021,142.19,72.47999999999999,63.58999999999998,1095.7300000000002,608.92,505.3299999999999,CT,20211101
170,Connecticut,12,2021,170.94000000000003,83.13000000000001,70.81,1266.6700000000003,692.05,576.1399999999999,CT,20211201
153,Connecticut,1,2022,180.59000000000003,84.53000000000002,70.30000000000001,1447.2600000000002,776.5799999999999,646.4399999999998,CT,20220101
155,Connecticut,2,2022,172.89999999999998,79.83999999999999,66.09,1620.1600000000003,856.42,712.5299999999999,CT,20220201
157,Connecticut,3,2022,227.74999999999997,104.23000000000005,86.36000000000004,1847.9100000000003,960.65,798.8899999999999,CT,20220301
159,Connecticut,4,2022,202.60000000000008,91.53000000000003,75.85999999999999,2050.51,1052.18,874.7499999999999,CT,20220401
161,Connecticut,5,2022,207.76000000000002,92.30000000000005,76.49000000000002,2258.2700000000004,1144.48,951.2399999999999,CT,20220501
163,Connecticut,6,2022,140.67999999999998,61.9,51.30000000000001,2398.9500000000003,1206.38,1002.54,CT,20220601
165,Connecticut,7,2022,7.89,3.46,2.86,2406.84,1209.8400000000001,1005.4,CT,20220701
323,Idaho,1,2021,1.3399999999999999,1.1199999999999999,0.19999999999999996,1.3399999999999999,1.1199999999999999,0.19999999999999996,ID,20210101
325,Idaho,2,2021,6.8199999999999985,4.83,1.73,8.159999999999998,5.95,1.93,ID,20210201
327,Idaho,3,2021,17.789999999999996,11.029999999999998,6.66,25.949999999999996,16.979999999999997,8.59,ID,20210301
329,Idaho,4,2021,26.270000000000003,15.519999999999998,11.050000000000002,52.22,32.49999999999999,19.64,ID,20210401
331,Idaho,5,2021,35.05,19.22000000000001,16.280000000000005,87.27,51.72,35.92,ID,20210501
333,Idaho,6,2021,38.480000000000004,20.72999999999999,18.480000000000004,125.75,72.44999999999999,54.400000000000006,ID,20210601
335,Idaho,7,2021,39.14999999999999,20.900000000000006,19.08000000000001,164.89999999999998,93.35,73.48000000000002,ID,20210701
337,Idaho,8,2021,43.83,23.630000000000003,21.159999999999997,208.72999999999996,116.97999999999999,94.64000000000001,ID,20210801
338,Idaho,9,2021,42.45,22.919999999999998,20.259999999999994,251.17999999999995,139.89999999999998,114.9,ID,20210901
339,Idaho,10,2021,47.66999999999999,24.95,22.200000000000003,298.8499999999999,164.84999999999997,137.10000000000002,ID,20211001
340,Idaho,11,2021,45.080000000000005,22.299999999999997,19.930000000000003,343.9299999999999,187.14999999999998,157.03000000000003,ID,20211101
341,Idaho,12,2021,52.980000000000004,24.86,22.080000000000002,396.9099999999999,212.01,179.11000000000004,ID,20211201
324,Idaho,1,2022,55.52999999999999,25.429999999999986,22.399999999999995,452.4399999999999,237.43999999999997,201.51000000000005,ID,20220101
326,Idaho,2,2022,58.51,26.809999999999995,23.54999999999999,510.9499999999999,264.24999999999994,225.06000000000003,ID,20220201
328,Idaho,3,2022,71.47000000000001,32.40999999999998,28.640000000000008,582.4199999999998,296.6599999999999,253.70000000000005,ID,20220301
330,Idaho,4,2022,65.44,29.43,25.95000000000001,647.8599999999999,326.0899999999999,279.65000000000003,ID,20220401
332,Idaho,5,2022,67.40000000000002,29.73,26.469999999999985,715.2599999999999,355.81999999999994,306.12,ID,20220501
334,Idaho,6,2022,45.99000000000001,19.979999999999997,17.93,761.2499999999999,375.79999999999995,324.05,ID,20220601
336,Idaho,7,2022,2.58,1.11,1.0,763.8299999999999,376.90999999999997,325.05,ID,20220701
342,Illinois,1,2021,11.05,8.7,2.11,11.05,8.7,2.11,IL,20210101
344,Illinois,2,2021,50.470000000000006,38.11,11.719999999999999,61.52000000000001,46.81,13.829999999999998,IL,20210201
346,Illinois,3,2021,135.97,90.26000000000002,46.55,197.49,137.07000000000002,60.379999999999995,IL,20210301
348,Illinois,4,2021,226.98000000000002,146.51999999999998,86.94000000000001,424.47,283.59000000000003,147.32,IL,20210401
350,Illinois,5,2021,318.45999999999987,192.52999999999997,136.15,742.9299999999998,476.12,283.47,IL,20210501
352,Illinois,6,2021,369.84000000000003,218.04,163.64000000000001,1112.77,694.16,447.11,IL,20210601
354,Illinois,7,2021,399.57000000000005,231.33,180.51000000000002,1512.3400000000001,925.49,627.62,IL,20210701
356,Illinois,8,2021,350.52,202.55,156.95,1862.8600000000001,1128.04,784.5699999999999,IL,20210801
357,Illinois,9,2021,0.0,0.0,0.0,1862.8600000000001,1128.04,784.5699999999999,IL,20210901
358,Illinois,10,2021,48.34,24.880000000000003,22.93,1911.2,1152.92,807.4999999999999,IL,20211001
359,Illinois,11,2021,202.52,101.24000000000001,92.58,2113.7200000000003,1254.16,900.0799999999999,IL,20211101
360,Illinois,12,2021,318.69999999999993,151.88,135.57,2432.42,1406.04,1035.6499999999999,IL,20211201
343,Illinois,1,2022,350.66999999999996,159.35,140.45999999999995,2783.09,1565.3899999999999,1176.11,IL,20220101
345,Illinois,2,2022,215.81,95.89999999999999,84.86,2998.9,1661.29,1260.9699999999998,IL,20220201
347,Illinois,3,2022,109.20000000000002,48.2,42.87,3108.1,1709.49,1303.8399999999997,IL,20220301
349,Illinois,4,2022,0.0,0.0,0.0,3108.1,1709.49,1303.8399999999997,IL,20220401
351,Illinois,5,2022,0.0,0.0,0.0,3108.1,1709.49,1303.8399999999997,IL,20220501
353,Illinois,6,2022,115.53,48.300000000000004,43.690000000000005,3223.63,1757.79,1347.5299999999997,IL,20220601
355,Illinois,7,2022,23.31,9.68,8.76,3246.94,1767.47,1356.2899999999997,IL,20220701
380,Indiana,1,2021,7.1400000000000015,5.82,1.18,7.1400000000000015,5.82,1.18,IN,20210101
382,Indiana,2,2021,27.91,19.99,7.829999999999999,35.050000000000004,25.81,9.01,IN,20210201
384,Indiana,3,2021,67.96000000000001,41.650000000000006,26.59,103.01000000000002,67.46000000000001,35.6,IN,20210301
386,Indiana,4,2021,105.68,63.86999999999999,44.06,208.69000000000003,131.32999999999998,79.66,IN,20210401
388,Indiana,5,2021,140.63,78.96000000000002,64.22,349.32000000000005,210.29000000000002,143.88,IN,20210501
390,Indiana,6,2021,161.03,87.39999999999998,76.51000000000002,510.35,297.69,220.39000000000001,IN,20210601
392,Indiana,7,2021,177.79999999999998,93.13000000000002,87.27999999999997,688.15,390.82000000000005,307.66999999999996,IN,20210701
394,Indiana,8,2021,193.44,101.69,94.33999999999999,881.5899999999999,492.51000000000005,402.00999999999993,IN,20210801
395,Indiana,9,2021,184.46999999999997,96.77000000000001,89.39999999999999,1066.06,589.2800000000001,491.4099999999999,IN,20210901
396,Indiana,10,2021,202.83,103.57,96.09,1268.8899999999999,692.8500000000001,587.4999999999999,IN,20211001
397,Indiana,11,2021,187.36,91.97999999999998,84.55000000000004,1456.25,784.8300000000002,672.05,IN,20211101
398,Indiana,12,2021,220.56999999999994,103.39,93.40999999999998,1676.82,888.2200000000001,765.4599999999999,IN,20211201
381,Indiana,1,2022,229.24,103.47000000000001,92.24999999999997,1906.06,991.6900000000002,857.7099999999999,IN,20220101
383,Indiana,2,2022,227.86999999999995,101.55999999999999,90.33999999999997,2133.93,1093.2500000000002,948.05,IN,20220201
385,Indiana,3,2022,287.23,127.09999999999997,113.34999999999997,2421.16,1220.3500000000001,1061.3999999999999,IN,20220301
387,Indiana,4,2022,254.47000000000003,111.34999999999994,99.37,2675.63,1331.7,1160.77,IN,20220401
389,Indiana,5,2022,259.37,111.93000000000005,99.89000000000004,2935.0,1443.63,1260.66,IN,20220501
391,Indiana,6,2022,177.01999999999998,75.06999999999998,67.28999999999998,3112.02,1518.7,1327.95,IN,20220601
393,Indiana,7,2022,10.11,4.22,3.8,3122.13,1522.92,1331.75,IN,20220701
399,Iowa,1,2021,2.84,2.3599999999999994,0.44,2.84,2.3599999999999994,0.44,IA,20210101
401,Iowa,2,2021,12.5,9.299999999999997,3.1100000000000003,15.34,11.659999999999997,3.5500000000000003,IA,20210201
403,Iowa,3,2021,35.41,23.41,12.729999999999999,50.75,35.06999999999999,16.279999999999998,IA,20210301
405,Iowa,4,2021,60.08000000000001,36.74,25.35000000000001,110.83000000000001,71.81,41.63000000000001,IA,20210401
407,Iowa,5,2021,79.39000000000001,44.15,37.72,190.22000000000003,115.96000000000001,79.35000000000001,IA,20210501
409,Iowa,6,2021,88.46000000000001,47.739999999999995,43.6,278.68000000000006,163.7,122.95000000000002,IA,20210601
411,Iowa,7,2021,92.7,49.449999999999974,46.31000000000001,371.38000000000005,213.14999999999998,169.26000000000002,IA,20210701
413,Iowa,8,2021,99.82000000000004,53.67,49.44999999999999,471.2000000000001,266.82,218.71,IA,20210801
414,Iowa,9,2021,94.77000000000002,50.62999999999999,46.79,565.9700000000001,317.45,265.5,IA,20210901
415,Iowa,10,2021,103.96,53.89,50.19000000000001,669.9300000000002,371.34,315.69,IA,20211001
416,Iowa,11,2021,98.91000000000001,48.08000000000002,44.260000000000005,768.8400000000001,419.42,359.95,IA,20211101
417,Iowa,12,2021,119.38999999999999,54.32999999999999,49.400000000000006,888.2300000000001,473.75,409.35,IA,20211201
400,Iowa,1,2022,123.75999999999999,54.100000000000016,49.039999999999985,1011.9900000000001,527.85,458.39,IA,20220101
402,Iowa,2,2022,122.16000000000001,52.84999999999997,47.95000000000001,1134.15,580.7,506.34,IA,20220201
404,Iowa,3,2022,153.51999999999995,65.97000000000003,59.99999999999997,1287.67,646.6700000000001,566.3399999999999,IA,20220301
406,Iowa,4,2022,136.08,57.74000000000001,52.58000000000002,1423.75,704.4100000000001,618.92,IA,20220401
408,Iowa,5,2022,139.29,57.989999999999974,52.90000000000001,1563.04,762.4000000000001,671.8199999999999,IA,20220501
410,Iowa,6,2022,94.25000000000001,38.73999999999998,35.39999999999999,1657.29,801.1400000000001,707.2199999999999,IA,20220601
412,Iowa,7,2022,5.29,2.16,1.97,1662.58,803.3000000000001,709.1899999999999,IA,20220701
418,Kansas,1,2021,2.4499999999999997,2.03,0.37,2.4499999999999997,2.03,0.37,KS,20210101
420,Kansas,2,2021,10.71,7.919999999999999,2.95,13.16,9.95,3.3200000000000003,KS,20210201
422,Kansas,3,2021,29.050000000000004,19.96,10.530000000000001,42.21000000000001,29.91,13.850000000000001,KS,20210301
424,Kansas,4,2021,51.49,33.42999999999999,21.47,93.70000000000002,63.33999999999999,35.32,KS,20210401
426,Kansas,5,2021,65.78999999999999,39.02,31.239999999999995,159.49,102.35999999999999,66.56,KS,20210501
428,Kansas,6,2021,72.21000000000001,42.0,35.11,231.70000000000002,144.35999999999999,101.67,KS,20210601
430,Kansas,7,2021,77.13000000000001,44.319999999999986,37.84000000000001,308.83000000000004,188.67999999999998,139.51000000000002,KS,20210701
432,Kansas,8,2021,86.99,50.11,42.089999999999996,395.82000000000005,238.78999999999996,181.60000000000002,KS,20210801
433,Kansas,9,2021,84.27,47.969999999999985,40.68999999999998,480.09000000000003,286.75999999999993,222.29000000000002,KS,20210901
434,Kansas,10,2021,93.16999999999999,51.73,44.18999999999999,573.26,338.48999999999995,266.48,KS,20211001
435,Kansas,11,2021,87.73,46.76999999999999,39.230000000000004,660.99,385.25999999999993,305.71000000000004,KS,20211101
436,Kansas,12,2021,104.88,53.3,43.999999999999986,765.87,438.55999999999995,349.71000000000004,KS,20211201
